ms since epoch, total memory
1626187572673, 2208K
1626187572964, 6116K
1626187573244, 6116K
1626187573537, 6116K
1626187573815, 6116K
1626187574107, 6116K
1626187574402, 6116K
1626187574677, 6116K
1626187574967, 6116K
1626187575261, 6116K
1626187575535, 6116K
1626187575815, 13932K
1626187576099, 13932K
1626187576389, 13932K
1626187576667, 13932K
1626187576956, 13932K
1626187577246, 13932K
1626187577529, 13932K
1626187577809, 13932K
1626187578096, 13932K
1626187578378, 13932K
1626187578663, 13932K
1626187578948, 29560K
1626187579227, 29560K
1626187579510, 29560K
1626187579794, 29560K
1626187580069, 29560K
1626187580349, 29560K
1626187580628, 29560K
1626187580911, 29560K
1626187581195, 29560K
